label,text
ham,Your appointment is confirmed for tomorrow.
spam,Limited time offer! Get your free coupon today.
spam,Act now! Your account has won a cash reward.
ham,I will send the files later today.
ham,Thanks for helping me with the assignment.
ham,"Thanks, I received your message."
ham,Please update the spreadsheet before the meeting.
spam,WIN BIG! Click now to claim your amazing prize.
ham,Please update the spreadsheet before the meeting.
spam,You have won a lottery worth $100. Claim your prize!
ham,I have completed the work. Please check it.
spam,Click now and receive your free bonus.
spam,You have won a shopping voucher. Redeem it immediately.
spam,Earn money from home with no investment. Join now!
ham,Please remember to bring your laptop to the meeting.
ham,I have completed the work. Please check it.
ham,Your interview is confirmed for Friday at 9 AM.
ham,I will be available after 3 PM.
spam,You are a lucky winner! Send your details to receive the prize.
ham,Your package is ready for pickup.
spam,Important! Verify your account now to receive your reward.
spam,Don't miss this amazing offer. Buy now and save big!
ham,"Thanks, I received your message."
ham,Your appointment is confirmed for tomorrow.
ham,The requested information is included in the document.
spam,Your account has been selected for a cash bonus.
ham,Your meeting is scheduled for Monday at 2 PM.
spam,URGENT! You have been selected for a FREE iPhone. Click here now!
ham,I have completed the work. Please check it.
spam,Instant cash reward available. Apply now!
spam,Get 50% OFF on all products. Buy now!
ham,The team meeting has been moved to Friday.
ham,I will send the files later today.
ham,Can we meet tomorrow at 2 PM to discuss the project?
ham,Your package is ready for pickup.
ham,Your order has been shipped and will arrive tomorrow.
ham,The requested information is included in the document.
ham,Can you share the presentation with me?
spam,Win a brand new car! Enter the contest today.
spam,Limited time offer! Get your free coupon today.
ham,Please review the document and share your feedback.
ham,Your meeting is scheduled for Monday at 2 PM.
spam,Exclusive offer! Get a FREE gift by clicking this link.
ham,Please let me know if you need any changes.
spam,Your FREE subscription is waiting. Activate it today.
spam,Congratulations! You have received a special bonus.
spam,Your mobile number has won a lucky draw prize!
ham,Let's discuss the project after lunch.
ham,Please remember to bring your laptop to the meeting.
ham,Let's discuss the project after lunch.
ham,Please send me the assignment before the deadline.
spam,Your mobile number has won a lucky draw prize!
ham,The payment receipt has been sent to your email.
spam,Make $5000 every day from home. Sign up now!
spam,Exclusive offer! Get a FREE gift by clicking this link.
ham,The project deadline is next week.
spam,Limited time offer! Get your free coupon today.
spam,Your FREE subscription is waiting. Activate it today.
spam,Your account has been selected for a cash bonus.
ham,The class will start at 4 PM tomorrow.
ham,Thank you for your email. I will reply soon.
